project_id,article_id,url,pdf_url,is_fulltext,is_duplicate,is_include_ab,is_include_ft,tags,cite_id
138103,5136340,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136340/5136340_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136340/5136340_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Systematic review;Adult;Neurological and neuromuscular manifestations,2055_162
138103,5136341,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136341/5136341_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136341/5136341_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;SARS-CoV-2 or COVID-19;COVID-19 Hospitalized;All health outcomes,2055_163
138103,5136342,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136342/5136342_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136342/5136342_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,SARS-CoV-2 or COVID-19;Meta-analysis;Systematic review;Neurological and neuromuscular manifestations,2055_164
138103,5136343,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136343/5136343_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136343/5136343_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;Meta-analysis;SARS-CoV-2 or COVID-19;All health outcomes,2055_165
138103,5136344,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136344/5136344_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136344/5136344_18d2072e-0ff7-44e6-8a00-77bf2ac69e82.pdf,1,0,1,1,All health outcomes;Meta-analysis;Systematic review;Pediatric,2055_166
138103,5136345,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136345/5136345_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136345/5136345_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Systematic review;Literature review;Cohort study;SARS-CoV-2 or COVID-19;Cardiopulmonary manifestations;Experimental;Case reports,2055_167
138103,5136346,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136346/5136346_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136346/5136346_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;Neurological and neuromuscular manifestations,2055_168
138103,5136347,,,,0,0,,,2055_169
138103,5136348,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136348/5136348_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136348/5136348_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Neurological and neuromuscular manifestations;SARS-CoV-2 or COVID-19;Meta-analysis,2055_170
138103,5136349,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136349/5136349_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136349/5136349_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;All health outcomes;Mild,2055_171
